mode,eq7_a_kelvin,eq7_b,reconstructed_sensitivity_at_20c_percent_per_c,reported_sensitivity_at_20c_percent_per_c
N-mode,-4629.906621196729,28.152109349288082,5.387563909094755,5.6
P-mode,-4945.510271977734,29.372228614098706,5.754814261562293,6.1
